Source Node,Message,Delivered Node
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
10,Event Type: ApplicationLayerMessageTypes.VOTE | Vote: 1 ,5
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
2,Event Type: ApplicationLayerMessageTypes.VOTE | Vote: 1 ,5
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
2,Event Type: ApplicationLayerMessageTypes.VOTE | Vote: 0 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
2,Event Type: ApplicationLayerMessageTypes.VOTE | Vote: 0 ,8
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
8,Event Type: ApplicationLayerMessageTypes.VOTE | Vote: 1 ,9
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
